instance_hash,config_hash_toml,instance_data_file,scenarios,aggregation_criterion,first_stage_weight_proportion,queue_length,one_scenario_strategy,cumulative_sum_objective_first_stage_earliest,cumulative_sum_objective_first_stage_treatment_range,cumulative_sum_objective_first_stage,mean_gap,kpi_waiting_times,kpi_count_violated,difference_to_deterministic,kpi_diff_wt,kpi_diff_cv
16060245573606360052,18170198383359107758,simulations/instances/instance_16060245573606360052.csv,5,AVG,0.8,LIMITED,AVERAGE_SCENARIO,70000.0,1841200.0,1911200.0,1.740911322185151,20,19,0.7591733445803458,25.0,850.0
16060245573606360052,18170198383359107758,simulations/instances/instance_16060245573606360052.csv,5,AVG,0.8,LIMITED,AVERAGE_SCENARIO,70000.0,1841200.0,1911200.0,1.740911322185151,20,19,0.7591733445803458,25.0,850.0
10397321157149497167,1590527953883072098,simulations/instances/instance_10397321157149497167.csv,0,AVG,0.8,LIMITED,AVERAGE_SCENARIO,62400.0,1808400.0,1870800.0,0.0,23,3,0.0,0.0,0.0
10397321157149497167,1590527953883072098,simulations/instances/instance_10397321157149497167.csv,0,AVG,0.8,LIMITED,AVERAGE_SCENARIO,62400.0,1808400.0,1870800.0,0.0,23,3,0.0,0.0,0.0
10397321157149497167,12357873399685094130,simulations/instances/instance_10397321157149497167.csv,1,MAX,0.8,LIMITED,AVERAGE_SCENARIO,55200.0,1807600.0,1862800.0,0.2698315979961957,18,1,-0.4276245456489203,-21.73913043478261,-66.66666666666666
10397321157149497167,12357873399685094130,simulations/instances/instance_10397321157149497167.csv,1,MAX,0.8,LIMITED,AVERAGE_SCENARIO,55200.0,1807600.0,1862800.0,0.2698315979961957,18,1,-0.4276245456489203,-21.73913043478261,-66.66666666666666
250111777107487511,7763658798848624763,simulations/instances/instance_250111777107487511.csv,1,AVG,0.8,LIMITED,EARLIEST,64000.0,1668000.0,1732000.0,0.37427565137618113,6,0,0.4057971014492754,20.0,
250111777107487511,7763658798848624763,simulations/instances/instance_250111777107487511.csv,1,AVG,0.8,LIMITED,EARLIEST,64000.0,1668000.0,1732000.0,0.37427565137618113,6,0,0.4057971014492754,20.0,
10397321157149497167,14122416225123898139,simulations/instances/instance_10397321157149497167.csv,2,MAX,0.8,LIMITED,AVERAGE_SCENARIO,62000.0,1810400.0,1872400.0,1.8872866338413767,21,6,0.08552490912978404,-8.695652173913043,100.0
10397321157149497167,14122416225123898139,simulations/instances/instance_10397321157149497167.csv,2,MAX,0.8,LIMITED,AVERAGE_SCENARIO,62000.0,1810400.0,1872400.0,1.8872866338413767,21,6,0.08552490912978404,-8.695652173913043,100.0
17870085318395153772,10823260870451793310,simulations/instances/instance_17870085318395153772.csv,10,MAX,0.8,LIMITED,AVERAGE_SCENARIO,84800.0,1810600.0,1895400.0,22.465911553675433,30,30,2.2661055357720947,87.5,inf
17870085318395153772,10823260870451793310,simulations/instances/instance_17870085318395153772.csv,10,MAX,0.8,LIMITED,AVERAGE_SCENARIO,84800.0,1810600.0,1895400.0,22.465911553675433,30,30,2.2661055357720947,87.5,inf
17870085318395153772,8072184024845084329,simulations/instances/instance_17870085318395153772.csv,2,MAX,0.8,LIMITED,AVERAGE_SCENARIO,45200.0,1797800.0,1843000.0,1.2236727891857941,10,0,-0.5611308945721377,-37.5,
